CONTIG_NAME	PLOIDY_PRIOR_0	PLOIDY_PRIOR_1	PLOIDY_PRIOR_2	PLOIDY_PRIOR_3
chr1	0.0	0.01	0.98	0.01
chr2	0.0	0.01	0.98	0.01
chr3	0.0	0.01	0.98	0.01
chr4	0.0	0.01	0.98	0.01
chr5	0.0	0.01	0.98	0.01
chr6	0.0	0.01	0.98	0.01
chr7	0.0	0.01	0.98	0.01
chr8	0.0	0.01	0.98	0.01
chr9	0.0	0.01	0.98	0.01
chr10	0.0	0.01	0.98	0.01
chr11	0.0	0.01	0.98	0.01
chr12	0.0	0.01	0.98	0.01
chr13	0.0	0.01	0.98	0.01
chr14	0.0	0.01	0.98	0.01
chr15	0.0	0.01	0.98	0.01
chr16	0.0	0.01	0.98	0.01
chr17	0.0	0.01	0.98	0.01
chr18	0.0	0.01	0.98	0.01
chr19	0.0	0.01	0.98	0.01
chr20	0.0	0.01	0.98	0.01
chr21	0.0	0.01	0.98	0.01
chr22	0.0	0.01	0.98	0.01
chrX	0.01	0.49	0.49	0.01
chrY	0.495	0.495	0.01	0.0
